catid,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32,layer33,layer34,layer35,layer36,layer37,layer38,layer39,layer40
cat0229,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0230,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0231,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0232,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0233,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0234,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0235,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0236,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0237,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0238,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0239,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0240,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0241,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0242,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0243,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0244,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0245,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0246,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0247,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0248,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0249,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0250,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0251,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0252,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0253,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0254,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0255,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0256,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0257,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0258,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0259,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0260,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0261,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0262,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0263,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0264,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0265,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
